Type,Name,Reference
0,Pad1,[RFC-ietf-babel-rfc6126bis-20]
1,PadN,[RFC-ietf-babel-rfc6126bis-20]
2,Acknowledgment Request,[RFC-ietf-babel-rfc6126bis-20]
3,Acknowledgment,[RFC-ietf-babel-rfc6126bis-20]
4,Hello,[RFC-ietf-babel-rfc6126bis-20]
5,IHU,[RFC-ietf-babel-rfc6126bis-20]
6,Router-Id,[RFC-ietf-babel-rfc6126bis-20]
7,Next Hop,[RFC-ietf-babel-rfc6126bis-20]
8,Update,[RFC-ietf-babel-rfc6126bis-20]
9,Route Request,[RFC-ietf-babel-rfc6126bis-20]
10,Seqno Request,[RFC-ietf-babel-rfc6126bis-20]
11,TS/PC,[RFC7298]
12,HMAC,[RFC7298]
13,Reserved,
14,Reserved,
15,Reserved,
16,MAC,[RFC8967]
17,PC,[RFC8967]
18,Challenge Request,[RFC8967]
19,Challenge Reply,[RFC8967]
20-223,Unassigned,
224-254,Reserved for Experimental Use,[RFC-ietf-babel-rfc6126bis-20]
255,Reserved for expansion of the type space,[RFC-ietf-babel-rfc6126bis-20]
